Format Version,1.23,Take Name,Take 2026-01-12 01.56.14 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-12 01.56.15.167 ,Total Frames in Take,360,Total Exported Frames,360,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001
,ID,"C3510","C3510","C3510","C3520","C3520","C3520"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
75,0.625000,0.765364,0.195055,1.872238,0.316411,-0.137514,1.548686
76,0.633333,0.766772,0.196388,1.871187,0.316406,-0.137515,1.548652
77,0.641667,0.768856,0.197916,1.871065,0.316378,-0.137509,1.548553
78,0.650000,0.770987,0.199636,1.870482,0.316390,-0.137492,1.548561
79,0.658333,0.773121,0.201440,1.869417,0.316403,-0.137519,1.548638
80,0.666667,0.775783,0.203642,1.869059,0.316407,-0.137514,1.548650
81,0.675000,0.778449,0.205991,1.868338,0.316383,-0.137505,1.548559
82,0.683333,0.781209,0.208541,1.867578,0.316411,-0.137514,1.548662
83,0.691667,0.784200,0.211266,1.867059,0.316379,-0.137510,1.548553
84,0.700000,0.787263,0.214167,1.866471,0.316438,-0.137535,1.548748
85,0.708333,0.790436,0.217208,1.865872,0.316393,-0.137514,1.548593
86,0.716667,0.793730,0.220445,1.865347,0.316398,-0.137490,1.548514
87,0.725000,0.797260,0.223881,1.865183,0.316375,-0.137489,1.548496
88,0.733333,0.800784,0.227545,1.864956,0.316415,-0.137513,1.548641
89,0.741667,0.804313,0.231467,1.864746,0.316408,-0.137519,1.548636
90,0.750000,0.807821,0.235790,1.864635,0.316392,-0.137485,1.548494
91,0.758333,0.811208,0.240476,1.864501,0.316398,-0.137484,1.548532
92,0.766667,0.814572,0.245285,1.864388,0.316399,-0.137505,1.548637
93,0.775000,0.817959,0.250508,1.864627,0.316403,-0.137504,1.548616
