Time(s),Error
0.835,3.23376
0.836,3.30594
0.837,3.36682
0.838,3.40699
0.839,3.4365
0.84,3.45533
0.841,3.45972
0.842,3.45972
0.843,3.45124
0.844,3.43022
0.845,3.39695
0.846,3.35144
0.847,3.35144
0.848,3.29182
0.849,3.20959
0.85,3.12203
0.851,3.01972
0.852,2.89935
0.853,2.7735
0.854,2.7735
0.855,2.62537
0.856,2.47786
0.857,2.32
0.858,2.15084
0.859,2.15084
0.86,1.96725
0.861,1.75856
0.862,1.55268
0.863,1.3355
0.864,1.3355
0.865,1.1064
0.866,0.861294
0.867,0.589825
0.868,0.297329
0.869,0.0117378
0.87,-0.288288
0.871,-0.288288
0.872,-0.576389
0.873,-0.88364
0.874,-1.14883
0.875,-1.39112
0.876,-1.60546
0.877,-1.60546
0.878,-1.80538
0.879,-2.01502
0.88,-2.20991
0.881,-2.40795
0.882,-2.59154
0.883,-2.59154
0.884,-2.76165
0.885,-2.9217
0.886,-3.04503
0.887,-3.14232
0.888,-3.21953
0.889,-3.21953
0.89,-3.31322
0.891,-3.31322
0.892,-3.35967
0.893,-3.39106
0.894,-3.40957
0.895,-3.40863
0.896,-3.38855
0.897,-3.35057
0.898,-3.35057
0.899,-3.28324
0.9,-3.21106
0.901,-3.12695
0.902,-3.01867
0.903,-3.01867
0.904,-2.90444
0.905,-2.76477
0.906,-2.6292
0.907,-2.47918
0.908,-2.30219
0.909,-2.30219
0.91,-2.12455
0.911,-1.9397
0.912,-1.72567
0.913,-1.51822
0.914,-1.30198
0.915,-1.30198
0.916,-1.07225
0.917,-0.820873
0.918,-0.573879
0.919,-0.573879
0.92,-0.160244
0.921,0.109653
0.922,0.378613
0.923,0.645061
0.924,0.645061
0.925,1.01099
0.926,1.23758
0.927,1.23758
0.928,1.44629
0.929,1.63301
0.93,1.79213
0.931,1.94968
0.932,1.94968
0.933,2.1
0.934,2.26163
0.935,2.40035
0.936,2.52494
0.937,2.62788
0.938,2.62788
0.939,2.71669
0.94,2.78072
0.941,2.82089
0.942,2.84411
0.943,2.85384
0.944,2.85384
0.945,2.85227
0.946,2.83815
0.947,2.81305
0.948,2.77821
0.949,2.7305
0.95,2.7305
0.951,2.66303
0.952,2.58458
0.953,2.49293
0.954,2.38654
0.955,2.25567
0.956,2.25567
0.957,2.12292
0.958,1.97573
0.959,1.82383
0.96,1.65938
0.961,1.65938
0.962,1.46888
0.963,1.2787
0.964,1.07941
0.965,0.847485
0.966,0.618702
0.967,0.377041
0.968,0.377041
0.969,0.118755
0.97,-0.158367
0.971,-0.416653
0.972,-0.666462
0.973,-0.666462
0.974,-0.909687
0.975,-1.23922
0.976,-1.43599
0.977,-1.61394
0.978,-1.61394
0.979,-1.8013
0.98,-1.98772
0.981,-2.14276
0.982,-2.30658
0.983,-2.30658
0.984,-2.4591
0.985,-2.58903
0.986,-2.68412
0.987,-2.75285
0.988,-2.75285
0.989,-2.81405
0.99,-2.85548
0.991,-2.88655
0.992,-2.90193
0.993,-2.90538
0.994,-2.89471
0.995,-2.89471
0.996,-2.86332
0.997,-2.81719
0.998,-2.75348
0.999,-2.67753
1,-2.67753
1.001,-2.57742
1.002,-2.45973
1.003,-2.33483
1.004,-2.20301
1.005,-2.05927
1.006,-2.05927
1.007,-1.89263
1.008,-1.72598
1.009,-1.5518
1.01,-1.34938
1.011,-1.15071
1.012,-1.15071
1.013,-0.940762
1.014,-0.701305
1.015,-0.470318
1.016,-0.470318
1.017,-0.107212
1.018,0.160496
1.019,0.403088
1.02,0.636898
1.021,0.636898
1.022,0.879185
1.023,1.08255
1.024,1.26112
1.025,1.43122
1.026,1.43122
1.027,1.57621
1.028,1.72246
1.029,1.85804
1.03,1.99048
1.031,2.11412
1.032,2.21926
1.033,2.21926
1.034,2.31153
1.035,2.38089
1.036,2.42357
1.037,2.44648
1.038,2.44648
1.039,2.45684
1.04,2.4468
1.041,2.4468
1.042,2.42577
1.043,2.38968
1.044,2.3426
1.045,2.28203
1.046,2.21142
1.047,2.21142
1.048,2.12512
1.049,2.01496
1.05,1.89759
1.051,1.76922
1.052,1.62768
1.053,1.62768
1.054,1.47422
1.055,1.2947
1.056,1.11393
1.057,0.928768
1.058,0.727283
1.059,0.727283
1.06,0.399319
1.061,0.144802
1.062,0.144802
1.063,-0.0956001
1.064,-0.338505
1.065,-0.57169
1.066,-0.814281
1.067,-1.02518
1.068,-1.02518
1.069,-1.2163
1.07,-1.40022
1.071,-1.55588
1.072,-1.70684
1.073,-1.85779
1.074,-1.85779
1.075,-2.00749
1.076,-2.15593
1.077,-2.27708
1.078,-2.27708
1.079,-2.41736
1.08,-2.48233
1.081,-2.53128
1.082,-2.53128
1.083,-2.55764
1.084,-2.56988
1.085,-2.57145
1.086,-2.56141
1.087,-2.5385
1.088,-2.49927
1.089,-2.49927
1.09,-2.41423
1.091,-2.33608
1.092,-2.33608
1.093,-2.18355
1.094,-2.0712
1.095,-2.0712
1.096,-1.94567
1.097,-1.79596
1.098,-1.64595
1.099,-1.48275
1.1,-1.30136
1.101,-1.30136
1.102,-1.10489
1.103,-0.911884
1.104,-0.703495
1.105,-0.491978
1.106,-0.491978
1.107,-0.266323
1.108,0.00326157
1.109,0.214161
1.11,0.449856
1.111,0.449856
1.112,0.66106
1.113,0.861607
1.114,1.06057
1.115,1.21749
1.116,1.3581
1.117,1.49681
1.118,1.49681
1.119,1.62894
1.12,1.73784
1.121,1.85678
1.122,1.95784
1.123,1.95784
1.124,2.04194
1.125,2.11193
1.126,2.15274
1.127,2.17533
1.128,2.18223
1.129,2.18223
1.13,2.17501
1.131,2.15712
1.132,2.12825
1.133,2.08274
1.134,2.02939
1.135,2.02939
1.136,1.96851
1.137,1.88409
1.138,1.78241
1.139,1.67319
1.14,1.54766
1.141,1.40925
1.142,1.40925
1.143,1.24229
1.144,1.07595
1.145,0.898327
1.146,0.705006
1.147,0.705006
1.148,0.506657
1.149,0.273167
1.15,0.0484505
1.151,-0.180332
1.152,-0.40472
1.153,-0.625355
1.154,-0.625355
1.155,-0.853199
1.156,-1.04527
1.157,-1.21694
1.158,-1.36256
1.159,-1.36256
1.16,-1.51037
1.161,-1.6538
1.162,-1.7762
1.163,-1.90329
1.164,-1.90329
1.165,-2.02946
1.166,-2.12706
1.167,-2.20929
1.168,-2.2617
1.169,-2.2617
1.17,-2.3047
1.171,-2.31379
1.172,-2.31223
1.173,-2.30093
1.174,-2.30093
1.175,-2.2639
1.176,-2.2184
1.177,-2.2184
1.178,-2.16253
1.179,-2.08501
1.18,-1.99745
1.181,-1.99745
1.182,-1.83739
1.183,-1.7128
1.184,-1.56435
1.185,-1.41591
1.186,-1.41591
1.187,-1.17488
1.188,-1.00133
1.189,-1.00133
1.19,-0.813969
1.191,-0.6059
1.192,-0.381817
1.193,-0.381817
1.194,-0.056057
1.195,0.163944
1.196,0.379238
1.197,0.588253
1.198,0.588253
1.199,0.797901
1.2,0.986515
1.201,1.13716
1.202,1.26897
1.203,1.26897
1.204,1.38289
1.205,1.50058
1.206,1.60634
1.207,1.70959
1.208,1.80312
1.209,1.80312
1.21,1.89005
1.211,1.95407
1.212,1.9911
1.213,2.00743
1.214,2.00837
1.215,2.00837
1.216,1.99424
1.217,1.96663
1.218,1.92833
1.219,1.88158
1.22,1.88158
1.221,1.8232
1.222,1.75384
1.223,1.66377
1.224,1.56805
1.225,1.45539
