Time(s),Error
1.966,-1.44886
1.967,-1.41591
1.968,-1.37417
1.969,-1.37417
1.97,-1.31861
1.971,-1.2502
1.972,-1.17363
1.973,-1.08606
1.974,-1.08606
1.975,-0.984692
1.976,-0.858845
1.977,-0.729229
1.978,-0.584553
1.979,-0.434231
1.98,-0.434231
1.981,-0.262875
1.982,-0.0927773
1.983,0.0625801
1.984,0.0625801
1.985,0.282887
1.986,0.427258
1.987,0.55624
1.988,0.55624
1.989,0.685856
1.99,0.835873
1.991,0.916523
1.992,0.916523
1.993,0.985569
1.994,1.05085
1.995,1.0998
1.996,1.14124
1.997,1.14124
1.998,1.16571
1.999,1.17293
2,1.16006
2.001,1.12993
2.002,1.08569
2.003,1.027
2.004,1.027
2.005,0.949162
2.006,0.86475
2.007,0.768085
2.008,0.659496
2.009,0.659496
2.01,0.53867
2.011,0.400578
2.012,0.26437
2.013,0.122524
2.014,-0.0234184
2.015,-0.0234184
2.016,-0.170918
2.017,-0.320927
2.018,-0.454937
2.019,-0.588947
2.02,-0.693142
2.021,-0.693142
2.022,-0.791691
2.023,-0.889919
2.024,-0.96336
2.025,-1.03051
2.026,-1.08889
2.027,-1.08889
2.028,-1.13816
2.029,-1.1752
2.03,-1.19214
2.031,-1.1912
2.032,-1.17299
2.033,-1.17299
2.034,-1.13974
2.035,-1.08889
2.036,-1.03083
2.037,-0.958027
2.038,-0.958027
2.039,-0.879871
2.04,-0.782894
2.041,-0.682156
2.042,-0.569492
2.043,-0.444271
2.044,-0.2999
2.045,-0.2999
2.046,-0.152081
2.047,-0.0287514
2.048,0.108402
2.049,0.233936
2.05,0.233936
2.051,0.35413
2.052,0.474964
2.053,0.569424
2.054,0.653843
2.055,0.653843
2.056,0.732304
2.057,0.818295
2.058,0.860981
2.059,0.860981
2.06,0.89362
2.061,0.915585
2.062,0.921864
2.063,0.921864
2.064,0.901463
2.065,0.86726
2.066,0.817982
2.067,0.817982
2.068,0.753017
2.069,0.63345
2.07,0.63345
2.071,0.439182
2.072,0.439182
2.073,0.321812
2.074,0.20789
2.075,0.20789
2.076,0.03339
2.077,-0.0946541
2.078,-0.212658
2.079,-0.319675
2.08,-0.319675
2.081,-0.437359
2.082,-0.546894
2.083,-0.635395
2.084,-0.716366
2.085,-0.785412
2.086,-0.785412
2.087,-0.844723
2.088,-0.898388
2.089,-0.937618
2.09,-0.964611
2.091,-0.97559
2.092,-0.97559
2.093,-0.96838
2.094,-0.940441
2.095,-0.898388
2.096,-0.898388
2.097,-0.809574
2.098,-0.73959
2.099,-0.658306
2.1,-0.568546
2.101,-0.568546
2.102,-0.420414
2.103,-0.305553
2.104,-0.305553
2.105,-0.185673
2.106,-0.0830421
2.107,0.03339
2.108,0.141979
2.109,0.141979
2.11,0.247738
2.111,0.358212
2.112,0.4464
2.113,0.532078
2.114,0.600178
2.115,0.600178
2.116,0.656673
2.117,0.704372
2.118,0.738262
2.119,0.762119
2.12,0.762119
2.121,0.776554
2.122,0.777813
2.123,0.763058
2.124,0.734814
2.125,0.734814
2.126,0.664204
2.127,0.600803
2.128,0.526745
2.129,0.442318
2.13,0.442318
2.131,0.307377
2.132,0.208508
2.133,0.208508
2.134,0.110592
2.135,0.00137711
2.136,0.00137711
2.137,-0.0987358
2.138,-0.197903
2.139,-0.197903
2.14,-0.393429
2.141,-0.393429
2.142,-0.487263
2.143,-0.566036
2.144,-0.631001
2.145,-0.69659
2.146,-0.69659
2.147,-0.749004
2.148,-0.794819
2.149,-0.842525
2.15,-0.842525
2.151,-0.842525
2.152,-0.848804
2.153,-0.842213
2.154,-0.818989
2.155,-0.782276
2.156,-0.729862
2.157,-0.658619
2.158,-0.658619
2.159,-0.580791
2.16,-0.496677
2.161,-0.3997
2.162,-0.304615
2.163,-0.304615
2.164,-0.205441
2.165,-0.0927773
2.166,0.00891495
2.167,0.112789
2.168,0.226086
2.169,0.226086
2.17,0.329021
2.171,0.43259
2.172,0.519215
2.173,0.593273
2.174,0.655727
2.175,0.655727
2.176,0.706882
2.177,0.746746
2.178,0.774044
2.179,0.789112
2.18,0.789112
2.181,0.794445
2.182,0.787853
2.183,0.769024
2.184,0.737324
2.185,0.689938
2.186,0.689938
2.187,0.629681
2.188,0.548397
2.189,0.462086
2.19,0.367313
2.191,0.26186
2.192,0.26186
2.193,0.153904
2.194,0.0217781
2.195,-0.0918236
2.196,-0.19508
2.197,-0.312771
2.198,-0.41885
2.199,-0.41885
2.2,-0.61562
2.201,-0.691883
2.202,-0.691883
2.203,-0.759052
2.204,-0.759052
2.205,-0.81554
2.206,-0.86607
2.207,-0.904667
2.208,-0.95174
2.209,-0.95174
2.21,-0.954258
2.211,-0.936047
2.212,-0.936047
2.213,-0.90279
2.214,-0.854458
2.215,-0.786976
2.216,-0.786976
2.217,-0.671177
2.218,-0.671177
2.219,-0.582363
2.22,-0.486324
2.221,-0.374912
2.222,-0.267262
2.223,-0.267262
2.224,-0.0861855
2.225,0.0321388
2.226,0.151394
2.227,0.270023
2.228,0.270023
2.229,0.395245
2.23,0.501949
2.231,0.604259
2.232,0.683659
2.233,0.683659
2.234,0.749882
2.235,0.842152
2.236,0.842152
2.237,0.86945
2.238,0.88483
2.239,0.88483
2.24,0.888287
2.241,0.888287
2.242,0.832729
2.243,0.832729
2.244,0.779385
2.245,0.667027
2.246,0.667027
2.247,0.576328
2.248,0.576328
2.249,0.474644
2.25,0.357273
2.251,0.243351
2.252,0.122524
2.253,0.00201035
2.254,0.00201035
2.255,-0.122585
2.256,-0.266636
2.257,-0.376797
2.258,-0.490086
2.259,-0.490086
2.26,-0.605579
2.261,-0.701923
2.262,-0.794201
2.263,-0.86105
2.264,-0.928516
2.265,-0.983128
2.266,-0.983128
2.267,-1.028
2.268,-1.06472
2.269,-1.08293
2.27,-1.08293
2.271,-1.08356
2.272,-1.06441
2.273,-1.02769
2.274,-1.02769
2.275,-0.971203
2.276,-0.898075
2.277,-0.822445
2.278,-0.735821
2.279,-0.638218
2.28,-0.529949
2.281,-0.529949
2.282,-0.400021
2.283,-0.272289
2.284,-0.130116
2.285,0.00232315
2.286,0.00232315
2.287,0.13821
2.288,0.2785
2.289,0.405605
2.29,0.52486
2.291,0.635647
2.292,0.635647
2.293,0.823627
2.294,0.823627
2.295,0.88483
2.296,0.88483
2.297,0.980549
2.298,0.980549
2.299,1.01256
2.3,1.01822
2.301,1.00974
2.302,1.00974
2.303,0.984005
2.304,0.910877
2.305,0.844341
2.306,0.844341
2.307,0.762119
2.308,0.659184
2.309,0.659184
2.31,0.442318
2.311,0.323063
2.312,0.323063
2.313,0.197216
2.314,0.197216
2.315,0.0572472
2.316,-0.0736275
2.317,-0.198536
2.318,-0.334423
2.319,-0.334423
2.32,-0.630062
2.321,-0.630062
2.322,-0.630062
2.323,-0.732685
2.324,-0.833111
2.325,-0.910313
2.326,-0.977795
2.327,-1.03553
2.328,-1.03553
2.329,-1.08324
2.33,-1.12216
2.331,-1.1435
2.332,-1.1435
2.333,-1.14286
2.334,-1.11996
2.335,-1.07853
2.336,-1.02738
2.337,-0.928204
2.338,-0.928204
2.339,-0.849438
2.34,-0.75967
2.341,-0.653286
2.342,-0.531513
2.343,-0.408176
2.344,-0.408176
2.345,-0.408176
2.346,-0.276363
2.347,-0.13702
2.348,-0.00772476
2.349,0.120953
2.35,0.252132
2.351,0.377987
2.352,0.377987
2.353,0.627796
2.354,0.627796
2.355,0.722263
2.356,0.799778
2.357,0.799778
2.358,0.861607
2.359,0.910877
2.36,0.944141
2.361,0.944141
2.362,0.982121
2.363,0.994358
2.364,0.993107
2.365,0.975216
2.366,0.975216
2.367,0.941006
2.368,0.817043
2.369,0.817043
2.37,0.817043
2.371,0.689625
2.372,0.587315
2.373,0.48061
2.374,0.352566
2.375,0.225773
2.376,0.225773
2.377,0.0920753
2.378,-0.0409889
2.379,-0.314968
2.38,-0.314968
2.381,-0.441441
2.382,-0.563839
2.383,-0.678387
2.384,-0.678387
2.385,-0.773487
2.386,-0.854137
2.387,-0.854137
2.388,-0.991283
2.389,-1.04621
2.39,-1.0914
2.391,-1.12436
2.392,-1.12436
2.393,-1.12436
2.394,-1.14225
2.395,-1.1278
2.396,-1.1278
2.397,-1.0484
2.398,-0.990658
2.399,-0.990658
2.4,-0.883327
2.401,-0.793568
2.402,-0.698475
2.403,-0.601505
2.404,-0.601505
2.405,-0.469059
2.406,-0.344784
2.407,-0.217365
2.408,-0.084301
2.409,-0.084301
2.41,0.0431175
2.411,0.0431175
2.412,0.311138
2.413,0.311138
2.414,0.530193
2.415,0.530193
2.416,0.530193
2.417,0.622463
2.418,0.706577
2.419,0.770283
2.42,0.846546
2.421,0.846546
2.422,0.904911
2.423,0.904911
2.424,0.916523
2.425,0.9137
2.426,0.9137
2.427,0.86224
2.428,0.813274
2.429,0.748936
2.43,0.748936
2.431,0.661694
2.432,0.57288
2.433,0.57288
2.434,0.36417
2.435,0.36417
2.436,0.253704
2.437,0.13319
2.438,0.0195808
2.439,-0.109089
2.44,-0.109089
2.441,-0.33913
2.442,-0.33913
2.443,-0.453365
2.444,-0.548466
2.445,-0.630688
2.446,-0.704128
2.447,-0.704128
2.448,-0.704128
2.449,-0.829662
2.45,-0.829662
2.451,-0.877674
2.452,-0.943584
2.453,-0.943584
2.454,-0.955509
2.455,-0.947666
2.456,-0.918476
2.457,-0.918476
2.458,-0.819309
2.459,-0.819309
2.46,-0.752148
2.461,-0.666157
2.462,-0.578281
2.463,-0.578281
2.464,-0.432659
2.465,-0.31905
2.466,-0.208576
2.467,-0.208576
2.468,-0.0981102
2.469,0.0723076
2.47,0.179951
2.471,0.179951
2.472,0.287281
2.473,0.403721
2.474,0.484684
2.475,0.484684
2.476,0.599865
2.477,0.658245
2.478,0.658245
2.479,0.722576
2.48,0.75333
2.481,0.75333
2.482,0.779377
2.483,0.78252
2.484,0.772472
2.485,0.748623
2.486,0.748623
2.487,0.748623
2.488,0.652905
2.489,0.590137
2.49,0.590137
2.491,0.471195
2.492,0.38332
2.493,0.279125
2.494,0.279125
2.495,0.177128
2.496,0.0723076
2.497,-0.0296898
2.498,-0.140163
2.499,-0.239956
2.5,-0.33662
2.501,-0.33662
2.502,-0.468121
2.503,-0.543438
2.504,-0.543438
2.505,-0.609974
2.506,-0.671177
2.507,-0.722012
2.508,-0.765644
2.509,-0.800793
2.51,-0.800793
2.511,-0.821186
2.512,-0.827457
2.513,-0.815228
2.514,-0.78635
2.515,-0.742725
2.516,-0.742725
2.517,-0.680279
2.518,-0.613743
2.519,-0.539989
2.52,-0.457447
2.521,-0.457447
2.522,-0.371464
2.523,-0.272594
2.524,-0.170918
2.525,-0.0726891
2.526,0.023037
2.527,0.023037
2.528,0.119381
2.529,0.220119
2.53,0.309566
2.531,0.389278
2.532,0.389278
2.533,0.464291
2.534,0.521091
2.535,0.569736
2.536,0.603626
2.537,0.630627
2.538,0.648823
2.539,0.648823
2.54,0.657925
2.541,0.655415
2.542,0.641918
2.543,0.613049
2.544,0.613049
2.545,0.575069
2.546,0.523296
2.547,0.465549
2.548,0.390224
2.549,0.311764
2.55,0.22797
2.551,0.22797
2.552,0.137897
2.553,0.0478249
2.554,-0.0369072
2.555,-0.120701
2.556,-0.120701
2.557,-0.202618
2.558,-0.285152
2.559,-0.356396
2.56,-0.420727
2.561,-0.478161
2.562,-0.478161
2.563,-0.527744
2.564,-0.570744
2.565,-0.604641
2.566,-0.634457
2.567,-0.653286
2.568,-0.653286
2.569,-0.666157
2.57,-0.666782
2.571,-0.654537
2.572,-0.630375
2.573,-0.593342
2.574,-0.593342
2.575,-0.545948
2.576,-0.485386
2.577,-0.422924
2.578,-0.355137
2.579,-0.28233
2.58,-0.28233
2.581,-0.205753
2.582,-0.133884
2.583,-0.0607567
2.584,0.0111046
2.585,0.0111046
2.586,0.0832939
2.587,0.165516
2.588,0.22797
2.589,0.295757
2.59,0.350994
2.591,0.39587
2.592,0.39587
2.593,0.431652
2.594,0.454876
2.595,0.469311
2.596,0.47559
2.597,0.47559
2.598,0.470249
2.599,0.457386
2.6,0.457386
2.601,0.437931
2.602,0.410938
2.603,0.374218
2.604,0.329342
2.605,0.276615
2.606,0.276615
2.607,0.216358
2.608,0.148571
2.609,0.0832939
2.61,0.0176964
2.611,-0.0478935
2.612,-0.0478935
2.613,-0.112545
2.614,-0.176876
2.615,-0.233685
2.616,-0.285465
2.617,-0.285465
2.618,-0.332233
2.619,-0.372082
2.62,-0.408489
2.621,-0.440189
2.622,-0.440189
2.623,-0.472202
2.624,-0.485699
2.625,-0.492283
2.626,-0.491978
2.627,-0.491978
2.628,-0.4744
2.629,-0.4744
2.63,-0.451488
2.631,-0.415714
2.632,-0.373341
2.633,-0.32909
2.634,-0.282955
2.635,-0.233372
2.636,-0.233372
2.637,-0.177189
2.638,-0.125416
2.639,-0.0726891
2.64,-0.0218468
2.641,-0.0218468
2.642,0.0343285
2.643,0.0879936
2.644,0.136959
2.645,0.180889
2.646,0.222324
2.647,0.222324
2.648,0.272846
2.649,0.297955
2.65,0.297955
2.651,0.311764
2.652,0.318043
2.653,0.318356
2.654,0.313961
2.655,0.313961
2.656,0.305172
2.657,0.291363
2.658,0.270023
2.659,0.245861
2.66,0.245861
2.661,0.201923
2.662,0.162693
2.663,0.122524
2.664,0.0785789
2.665,0.0785789
2.666,0.0327644
2.667,-0.0161934
2.668,-0.0610771
2.669,-0.105007
2.67,-0.105007
2.671,-0.14706
2.672,-0.186291
2.673,-0.223644
2.674,-0.253773
2.675,-0.278568
2.676,-0.297085
2.677,-0.297085
2.678,-0.310886
2.679,-0.322498
2.68,-0.330662
2.681,-0.330662
2.682,-0.337254
2.683,-0.33662
2.684,-0.330975
2.685,-0.330975
2.686,-0.31905
2.687,-0.293316
2.688,-0.269772
2.689,-0.269772
2.69,-0.239338
2.691,-0.203556
2.692,-0.16872
2.693,-0.133259
2.694,-0.133259
2.695,-0.0956001
2.696,-0.0582466
2.697,-0.0246696
2.698,0.0079689
2.699,0.0406075
2.7,0.0729332
2.701,0.0729332
2.702,0.104321
2.703,0.127857
2.704,0.149822
2.705,0.166454
2.706,0.166454
2.707,0.180271
2.708,0.187801
2.709,0.189991
2.71,0.187168
2.711,0.187168
2.712,0.180271
2.713,0.166775
2.714,0.156734
2.715,0.156734
2.716,0.145741
2.717,0.130993
2.718,0.113422
2.719,0.0914497
2.72,0.0676003
2.721,0.0676003
2.722,0.0428047
2.723,0.0142479
2.724,-0.0130577
2.725,-0.0387917
2.726,-0.0387917
2.727,-0.0902672
2.728,-0.0902672
2.729,-0.114422
2.73,-0.134197
2.731,-0.134197
2.732,-0.160877
2.733,-0.17625
2.734,-0.185978
2.735,-0.19257
2.736,-0.19257
2.737,-0.194767
2.738,-0.192883
2.739,-0.187862
2.74,-0.180332
2.741,-0.180332
2.742,-0.17123
2.743,-0.156162
2.744,-0.146122
2.745,-0.146122
2.746,-0.13483
2.747,-0.123211
2.748,-0.110348
2.749,-0.110348
2.75,-0.0868034
2.751,-0.0689201
2.752,-0.0689201
2.753,-0.0453835
2.754,-0.0318871
2.755,-0.0318871
2.756,-0.0124321
2.757,-0.00018692
2.758,0.0117378
2.759,0.0217781
2.76,0.0217781
2.761,0.0289955
2.762,0.0324516
2.763,0.0327644
2.764,0.0299416
2.765,0.0299416
2.766,0.025547
2.767,0.0189552
2.768,0.0126762
2.769,0.00609207
2.77,0.000118256
2.771,-0.0058403
2.772,-0.0058403
2.773,-0.0118065
2.774,-0.0174522
2.775,-0.0237236
2.776,-0.0303154
2.777,-0.0303154
2.778,-0.0378532
2.779,-0.0469551
2.78,-0.0557365
2.781,-0.0639
2.782,-0.0711174
2.783,-0.0761375
2.784,-0.0761375
2.785,-0.0789604
2.786,-0.0799065
2.787,-0.0799065
2.788,-0.0792809
2.789,-0.0792809
2.79,-0.0786476
2.791,-0.0783348
2.792,-0.078022
2.793,-0.0767632
2.794,-0.0751991
2.795,-0.0751991
2.796,-0.0723686
2.797,-0.0689201
2.798,-0.0651588
2.799,-0.0620155
2.8,-0.0588799
2.801,-0.0588799
2.802,-0.0569954
2.803,-0.0557365
2.804,-0.0554237
2.805,-0.0554237
2.806,-0.0554237
2.807,-0.0563698
2.808,-0.057621
2.809,-0.058567
2.81,-0.0598183
2.811,-0.0610771
2.812,-0.0623283
2.813,-0.0623283
2.814,-0.0632668
2.815,-0.0639
2.816,-0.0645256
2.817,-0.0648384
2.818,-0.0648384
2.819,-0.0648384
2.82,-0.0648384
2.821,-0.0648384
2.822,-0.0648384
2.823,-0.0651588
2.824,-0.0654716
2.825,-0.0654716
2.826,-0.0660973
2.827,-0.0664101
2.828,-0.0667229
2.829,-0.0670357
2.83,-0.0670357
2.831,-0.0673485
2.832,-0.0673485
2.833,-0.0676689
2.834,-0.0676689
2.835,-0.0676689
2.836,-0.0676689
2.837,-0.0676689
2.838,-0.0676689
2.839,-0.0676689
2.84,-0.0676689
2.841,-0.0676689
2.842,-0.0676689
2.843,-0.0676689
2.844,-0.0676689
2.845,-0.0676689
2.846,-0.0676689
2.847,-0.0676689
2.848,-0.0679817
2.849,-0.0682869
2.85,-0.0689201
2.851,-0.0689201
2.852,-0.0692329
2.853,-0.0695457
2.854,-0.0698586
2.855,-0.070179
2.856,-0.070179
2.857,-0.070179
2.858,-0.0695457
2.859,-0.0689201
2.86,-0.0689201
2.861,-0.0682869
2.862,-0.0673485
2.863,-0.0667229
2.864,-0.0657768
2.865,-0.0651588
2.866,-0.0651588
2.867,-0.0645256
2.868,-0.0645256
2.869,-0.0645256
2.87,-0.0642128
2.871,-0.0645256
2.872,-0.0648384
2.873,-0.0654716
2.874,-0.0654716
2.875,-0.0660973
2.876,-0.0664101
2.877,-0.0670357
2.878,-0.0673485
2.879,-0.0673485
2.88,-0.0676689
2.881,-0.0676689
2.882,-0.0676689
2.883,-0.0676689
2.884,-0.0676689
2.885,-0.0676689
2.886,-0.0673485
2.887,-0.0673485
2.888,-0.0670357
2.889,-0.0670357
2.89,-0.0667229
2.891,-0.0667229
2.892,-0.0667229
2.893,-0.0667229
2.894,-0.0667229
2.895,-0.0667229
2.896,-0.0670357
2.897,-0.0673485
2.898,-0.0673485
2.899,-0.0673485
2.9,-0.0676689
2.901,-0.0676689
2.902,-0.0676689
2.903,-0.0676689
2.904,-0.0676689
2.905,-0.0676689
2.906,-0.0676689
2.907,-0.0673485
2.908,-0.0673485
2.909,-0.0670357
2.91,-0.0670357
2.911,-0.0670357
2.912,-0.0670357
2.913,-0.0667229
2.914,-0.0667229
2.915,-0.0667229
2.916,-0.0667229
2.917,-0.0667229
2.918,-0.0667229
2.919,-0.0667229
2.92,-0.0667229
2.921,-0.0667229
2.922,-0.0667229
2.923,-0.0667229
2.924,-0.0667229
2.925,-0.0667229
2.926,-0.0667229
2.927,-0.0670357
2.928,-0.0670357
2.929,-0.0670357
2.93,-0.0673485
2.931,-0.0673485
2.932,-0.0676689
2.933,-0.0679817
2.934,-0.0679817
2.935,-0.0679817
2.936,-0.0682869
2.937,-0.0682869
2.938,-0.0686073
2.939,-0.0686073
2.94,-0.0686073
2.941,-0.0686073
2.942,-0.0686073
2.943,-0.0686073
2.944,-0.0682869
2.945,-0.0682869
2.946,-0.0682869
2.947,-0.0676689
2.948,-0.0676689
2.949,-0.0676689
2.95,-0.0673485
2.951,-0.0670357
2.952,-0.0670357
2.953,-0.0670357
2.954,-0.0667229
2.955,-0.0667229
2.956,-0.0667229
2.957,-0.0667229
2.958,-0.0667229
2.959,-0.0667229
2.96,-0.0667229
2.961,-0.0667229
2.962,-0.0667229
2.963,-0.0667229
2.964,-0.0667229
2.965,-0.0667229
2.966,-0.0667229
2.967,-0.0667229
2.968,-0.0667229
2.969,-0.0667229
2.97,-0.0667229
2.971,-0.0667229
2.972,-0.0667229
2.973,-0.0667229
2.974,-0.0667229
2.975,-0.0670357
2.976,-0.0670357
2.977,-0.0670357
2.978,-0.0673485
2.979,-0.0673485
2.98,-0.0673485
2.981,-0.0673485
2.982,-0.0676689
2.983,-0.0676689
2.984,-0.0676689
2.985,-0.0676689
2.986,-0.0676689
2.987,-0.0676689
2.988,-0.0676689
2.989,-0.0676689
2.99,-0.0676689
2.991,-0.0676689
2.992,-0.0676689
2.993,-0.0676689
2.994,-0.0676689
2.995,-0.0676689
2.996,-0.0676689
2.997,-0.0676689
2.998,-0.0676689
2.999,-0.0676689
3,-0.0676689
